Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
-82.93,42.33,WINDSOR,6139520,5/27/2015,2015,5,27,27.5,19,23.3,0,5.3,9,0,9,0,23,52
-82.93,42.33,WINDSOR,6139520,5/28/2015,2015,5,28,26.5,13,19.8,0,1.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,5/29/2015,2015,5,29,28,16.5,22.3,0,4.3,5.6,0,5.6,0,21,41
-82.93,42.33,WINDSOR,6139520,5/30/2015,2015,5,30,29.5,21,25.3,0,7.3,42.8,0,42.8,0,4,57
-82.93,42.33,WINDSOR,6139520,5/31/2015,2015,5,31,12.5,9.5,11,7,0,10.6,0,10.6,0,3,57
-82.93,42.33,WINDSOR,6139520,6/1/2015,2015,6,1,16,8.5,12.3,5.7,0,0,0,0,0,4,41
-82.93,42.33,WINDSOR,6139520,6/2/2015,2015,6,2,21.5,7,14.3,3.7,0,0,0,0,0,9,33
-82.93,42.33,WINDSOR,6139520,6/3/2015,2015,6,3,22,10,16,2,0,0,0,0,0,13,33
-82.93,42.33,WINDSOR,6139520,6/4/2015,2015,6,4,27.5,15,21.3,0,3.3,0,0,0,0,13,32
-82.93,42.33,WINDSOR,6139520,6/5/2015,2015,6,5,28,15,21.5,0,3.5,9.4,0,9.4,0,27,57
-82.93,42.33,WINDSOR,6139520,6/6/2015,2015,6,6,23.5,12,17.8,0.2,0,0,0,0,0,4,35
-82.93,42.33,WINDSOR,6139520,6/7/2015,2015,6,7,27.5,9.5,18.5,0,0.5,5,0,5,0,,
-82.93,42.33,WINDSOR,6139520,6/8/2015,2015,6,8,27,20,23.5,0,5.5,7,0,7,0,22,52
-82.93,42.33,WINDSOR,6139520,6/9/2015,2015,6,9,27,16,21.5,0,3.5,6,0,6,0,28,44
-82.93,42.33,WINDSOR,6139520,6/10/2015,2015,6,10,32.5,17.5,25,0,7,0.8,0,0.8,0,23,61
-82.93,42.33,WINDSOR,6139520,6/11/2015,2015,6,11,22,16,19,0,1,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,6/12/2015,2015,6,12,27,16.5,21.8,0,3.8,15.6,0,15.6,0,26,46
-82.93,42.33,WINDSOR,6139520,6/13/2015,2015,6,13,23,14.5,18.8,0,0.8,1.4,0,1.4,0,,<31
-82.93,42.33,WINDSOR,6139520,6/14/2015,2015,6,14,29.5,17,23.3,0,5.3,19.2,0,19.2,0,32,44
-82.93,42.33,WINDSOR,6139520,6/15/2015,2015,6,15,29.5,21.5,25.5,0,7.5,4.4,0,4.4,0,,<31
-82.93,42.33,WINDSOR,6139520,6/16/2015,2015,6,16,27.5,20.5,24,0,6,0,0,0,0,6,35
-82.93,42.33,WINDSOR,6139520,6/17/2015,2015,6,17,24.5,15.5,20,0,2,0.8,0,0.8,0,,
-82.93,42.33,WINDSOR,6139520,6/18/2015,2015,6,18,28,18,23,0,5,0,0,0,0,1,37
-82.93,42.33,WINDSOR,6139520,6/19/2015,2015,6,19,22.5,16,19.3,0,1.3,0,0,0,0,4,35
-82.93,42.33,WINDSOR,6139520,6/20/2015,2015,6,20,25,14.5,19.8,0,1.8,0.7,0,0.7,0,,<31
-82.93,42.33,WINDSOR,6139520,6/21/2015,2015,6,21,30,20,25,0,7,0,0,0,0,29,35
-82.93,42.33,WINDSOR,6139520,6/22/2015,2015,6,22,29.5,17,23.3,0,5.3,21.4,0,21.4,0,22,50
-82.93,42.33,WINDSOR,6139520,6/23/2015,2015,6,23,27,20.5,23.8,0,5.8,0,0,0,0,27,78
-82.93,42.33,WINDSOR,6139520,6/24/2015,2015,6,24,27.5,13,20.3,0,2.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,6/25/2015,2015,6,25,24.5,16,20.3,0,2.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,6/26/2015,2015,6,26,24.5,15.5,20,0,2,23.2,0,23.2,0,8,35
-82.93,42.33,WINDSOR,6139520,6/27/2015,2015,6,27,18,15,16.5,1.5,0,33,0,33,0,,
-82.93,42.33,WINDSOR,6139520,6/28/2015,2015,6,28,25,14.5,19.8,0,1.8,0,0,0,0,34,57
-82.93,42.33,WINDSOR,6139520,6/29/2015,2015,6,29,25.5,14.5,20,0,2,0,0,0,0,20,39
-82.93,42.33,WINDSOR,6139520,6/30/2015,2015,6,30,25,17.5,21.3,0,3.3,5.3,0,5.3,0,,<31
-82.93,42.33,WINDSOR,6139520,7/1/2015,2015,7,1,24,16.5,20.3,0,2.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/2/2015,2015,7,2,23,15.5,19.3,0,1.3,0,0,0,0,4,32
-82.93,42.33,WINDSOR,6139520,7/3/2015,2015,7,3,24,11.5,17.8,0.2,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/4/2015,2015,7,4,27.5,13,20.3,0,2.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/5/2015,2015,7,5,29,16,22.5,0,4.5,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/6/2015,2015,7,6,30,15.5,22.8,0,4.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/7/2015,2015,7,7,26,20,23,0,5,2,0,2,0,22,35
-82.93,42.33,WINDSOR,6139520,7/8/2015,2015,7,8,19.5,13,16.3,1.7,0,14,0,14,0,,<31
-82.93,42.33,WINDSOR,6139520,7/9/2015,2015,7,9,24,17,20.5,0,2.5,0,0,0,0,3,32
-82.93,42.33,WINDSOR,6139520,7/10/2015,2015,7,10,26.5,13.5,20,0,2,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/11/2015,2015,7,11,29.5,15,22.3,0,4.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/12/2015,2015,7,12,26,19.5,22.8,0,4.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/13/2015,2015,7,13,27.5,16,21.8,0,3.8,3.6,0,3.6,0,13,41
-82.93,42.33,WINDSOR,6139520,7/14/2015,2015,7,14,28.5,20.5,24.5,0,6.5,14,0,14,0,35,50
-82.93,42.33,WINDSOR,6139520,7/15/2015,2015,7,15,23,14.5,18.8,0,0.8,0,0,0,0,2,43
-82.93,42.33,WINDSOR,6139520,7/16/2015,2015,7,16,25.5,12,18.8,0,0.8,10.4,0,10.4,0,,<31
-82.93,42.33,WINDSOR,6139520,7/17/2015,2015,7,17,30.5,18.5,24.5,0,6.5,0,0,0,0,20,44
-82.93,42.33,WINDSOR,6139520,7/18/2015,2015,7,18,33,22.5,27.8,0,9.8,0.8,0,0.8,0,,<31
-82.93,42.33,WINDSOR,6139520,7/19/2015,2015,7,19,33.5,22.5,28,0,10,0,0,0,0,27,46
-82.93,42.33,WINDSOR,6139520,7/20/2015,2015,7,20,30.5,17,23.8,0,5.8,0,0,0,0,23,39
-82.93,42.33,WINDSOR,6139520,7/21/2015,2015,7,21,28,20.5,24.3,0,6.3,0,0,0,0,30,39
-82.93,42.33,WINDSOR,6139520,7/22/2015,2015,7,22,25.5,15,20.3,0,2.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/23/2015,2015,7,23,29.5,16,22.8,0,4.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/24/2015,2015,7,24,32,19.5,25.8,0,7.8,0,0,0,0,23,33
-82.93,42.33,WINDSOR,6139520,7/25/2015,2015,7,25,32,20.5,26.3,0,8.3,9.4,0,9.4,0,21,48
-82.93,42.33,WINDSOR,6139520,7/26/2015,2015,7,26,29.5,20.5,25,0,7,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/27/2015,2015,7,27,30.5,18,24.3,0,6.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/28/2015,2015,7,28,32,19,25.5,0,7.5,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,7/29/2015,2015,7,29,33.5,20.5,27,0,9,19.1,0,19.1,0,26,63
-82.93,42.33,WINDSOR,6139520,7/30/2015,2015,7,30,31,20,25.5,0,7.5,0,0,0,0,28,46
-82.93,42.33,WINDSOR,6139520,7/31/2015,2015,7,31,32,20.5,26.3,0,8.3,0,0,0,0,27,54
-82.93,42.33,WINDSOR,6139520,8/1/2015,2015,8,1,29.5,18,23.8,0,5.8,0,0,0,0,28,46
-82.93,42.33,WINDSOR,6139520,8/2/2015,2015,8,2,33.5,17,25.3,0,7.3,32.4,0,32.4,0,22,61
-82.93,42.33,WINDSOR,6139520,8/3/2015,2015,8,3,29,17,23,0,5,0,0,0,0,17,57
-82.93,42.33,WINDSOR,6139520,8/4/2015,2015,8,4,28.5,15.5,22,0,4,0,0,0,0,26,43
-82.93,42.33,WINDSOR,6139520,8/5/2015,2015,8,5,26.5,15.5,21,0,3,0,0,0,0,1,32
-82.93,42.33,WINDSOR,6139520,8/6/2015,2015,8,6,24.5,14.5,19.5,0,1.5,0,0,0,0,5,32
-82.93,42.33,WINDSOR,6139520,8/7/2015,2015,8,7,26,15,20.5,0,2.5,1.6,0,1.6,0,5,33
-82.93,42.33,WINDSOR,6139520,8/8/2015,2015,8,8,25.5,19,22.3,0,4.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/9/2015,2015,8,9,27.5,20,23.8,0,5.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/10/2015,2015,8,10,26.5,20.5,23.5,0,5.5,1,0,1,0,,<31
-82.93,42.33,WINDSOR,6139520,8/11/2015,2015,8,11,28,19,23.5,0,5.5,0.2,0,0.2,0,30,41
-82.93,42.33,WINDSOR,6139520,8/12/2015,2015,8,12,25,16,20.5,0,2.5,0,0,0,0,33,43
-82.93,42.33,WINDSOR,6139520,8/13/2015,2015,8,13,30,16.5,23.3,0,5.3,0,0,0,0,22,48
-82.93,42.33,WINDSOR,6139520,8/14/2015,2015,8,14,30.5,22,26.3,0,8.3,0,0,0,0,5,61
-82.93,42.33,WINDSOR,6139520,8/15/2015,2015,8,15,30.5,19,24.8,0,6.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/16/2015,2015,8,16,32,19.5,25.8,0,7.8,0,0,0,0,20,33
-82.93,42.33,WINDSOR,6139520,8/17/2015,2015,8,17,32.5,22,27.3,0,9.3,0.4,0,0.4,0,19,41
-82.93,42.33,WINDSOR,6139520,8/18/2015,2015,8,18,29.5,21.5,25.5,0,7.5,0,0,0,0,17,41
-82.93,42.33,WINDSOR,6139520,8/19/2015,2015,8,19,31,22,26.5,0,8.5,19.6,0,19.6,0,19,57
-82.93,42.33,WINDSOR,6139520,8/20/2015,2015,8,20,25,18,21.5,0,3.5,0,0,0,0,24,52
-82.93,42.33,WINDSOR,6139520,8/21/2015,2015,8,21,27,14.5,20.8,0,2.8,0,0,0,0,30,33
-82.93,42.33,WINDSOR,6139520,8/22/2015,2015,8,22,28,14.5,21.3,0,3.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/23/2015,2015,8,23,28.5,16.5,22.5,0,4.5,27.4,0,27.4,0,28,43
-82.93,42.33,WINDSOR,6139520,8/24/2015,2015,8,24,24.5,14.5,19.5,0,1.5,0,0,0,0,30,44
-82.93,42.33,WINDSOR,6139520,8/25/2015,2015,8,25,19,14.5,16.8,1.2,0,0.6,0,0.6,0,27,32
-82.93,42.33,WINDSOR,6139520,8/26/2015,2015,8,26,20.5,14.5,17.5,0.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/27/2015,2015,8,27,20,13,16.5,1.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/28/2015,2015,8,28,26,10.5,18.3,0,0.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/29/2015,2015,8,29,25,17.5,21.3,0,3.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,8/30/2015,2015,8,30,29.5,20,24.8,0,6.8,35.6,0,35.6,0,,<31
-82.93,42.33,WINDSOR,6139520,8/31/2015,2015,8,31,30,19,24.5,0,6.5,0,0,0,0,27,32
-82.93,42.33,WINDSOR,6139520,9/1/2015,2015,9,1,32.5,19.5,26,0,8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/2/2015,2015,9,2,33,21.5,27.3,0,9.3,0,0,0,0,30,57
-82.93,42.33,WINDSOR,6139520,9/3/2015,2015,9,3,33.5,20.5,27,0,9,62.7,0,62.7,0,29,48
-82.93,42.33,WINDSOR,6139520,9/4/2015,2015,9,4,29,20,24.5,0,6.5,0.7,0,0.7,0,17,35
-82.93,42.33,WINDSOR,6139520,9/5/2015,2015,9,5,29,20,24.5,0,6.5,0,0,0,0,19,33
-82.93,42.33,WINDSOR,6139520,9/6/2015,2015,9,6,33,19.5,26.3,0,8.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/7/2015,2015,9,7,33,22,27.5,0,9.5,0,0,0,0,19,37
-82.93,42.33,WINDSOR,6139520,9/8/2015,2015,9,8,32,23,27.5,0,9.5,0.8,0,0.8,0,21,43
-82.93,42.33,WINDSOR,6139520,9/9/2015,2015,9,9,25.5,21,23.3,0,5.3,0,0,0,0,35,33
-82.93,42.33,WINDSOR,6139520,9/10/2015,2015,9,10,26,13.5,19.8,0,1.8,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/11/2015,2015,9,11,20,16,18,0,0,3.5,0,3.5,0,2,33
-82.93,42.33,WINDSOR,6139520,9/12/2015,2015,9,12,19.5,11,15.3,2.7,0,0,0,0,0,35,44
-82.93,42.33,WINDSOR,6139520,9/13/2015,2015,9,13,20.5,10,15.3,2.7,0,0,0,0,0,30,39
-82.93,42.33,WINDSOR,6139520,9/14/2015,2015,9,14,25.5,9.5,17.5,0.5,0,0,0,0,0,24,37
-82.93,42.33,WINDSOR,6139520,9/15/2015,2015,9,15,28,16,22,0,4,0,0,0,0,21,33
-82.93,42.33,WINDSOR,6139520,9/16/2015,2015,9,16,29,14,21.5,0,3.5,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/17/2015,2015,9,17,28.5,15,21.8,0,3.8,0,0,0,0,20,41
-82.93,42.33,WINDSOR,6139520,9/18/2015,2015,9,18,27,19,23,0,5,9.2,0,9.2,0,,
-82.93,42.33,WINDSOR,6139520,9/19/2015,2015,9,19,22,19.5,20.8,0,2.8,0.4,0,0.4,0,29,54
-82.93,42.33,WINDSOR,6139520,9/20/2015,2015,9,20,21,10.5,15.8,2.2,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/21/2015,2015,9,21,22.5,13,17.8,0.2,0,0,0,0,0,6,35
-82.93,42.33,WINDSOR,6139520,9/22/2015,2015,9,22,24,12,18,0,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/23/2015,2015,9,23,25.5,11,18.3,0,0.3,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,9/24/2015,2015,9,24,25.5,13,19.3,0,1.3,0,0,0,0,6,33
-82.93,42.33,WINDSOR,6139520,9/25/2015,2015,9,25,25,18,21.5,0,3.5,0,0,0,0,5,37
-82.93,42.33,WINDSOR,6139520,9/26/2015,2015,9,26,24.5,17,20.8,0,2.8,0,0,0,0,12,39
-82.93,42.33,WINDSOR,6139520,9/27/2015,2015,9,27,25.5,13.5,19.5,0,1.5,0.6,0,0.6,0,16,33
-82.93,42.33,WINDSOR,6139520,9/28/2015,2015,9,28,27.5,19.5,23.5,0,5.5,0.2,0,0.2,0,,<31
-82.93,42.33,WINDSOR,6139520,9/29/2015,2015,9,29,22,17,19.5,0,1.5,4.6,0,4.6,0,,
-82.93,42.33,WINDSOR,6139520,9/30/2015,2015,9,30,18.5,12.5,15.5,2.5,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,10/1/2015,2015,10,1,15.5,9.5,12.5,5.5,0,0,0,0,0,6,52
-82.93,42.33,WINDSOR,6139520,10/2/2015,2015,10,2,14,9,11.5,6.5,0,0,0,0,0,5,63
-82.93,42.33,WINDSOR,6139520,10/3/2015,2015,10,3,12.5,8.5,10.5,7.5,0,7.5,0,7.5,0,,
-82.93,42.33,WINDSOR,6139520,10/4/2015,2015,10,4,16,8.5,12.3,5.7,0,0,0,0,0,6,32
-82.93,42.33,WINDSOR,6139520,10/5/2015,2015,10,5,21,13.5,17.3,0.7,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,10/6/2015,2015,10,6,20,14,17,1,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,10/7/2015,2015,10,7,24,11,17.5,0.5,0,0,0,0,0,31,37
-82.93,42.33,WINDSOR,6139520,10/8/2015,2015,10,8,24,8.5,16.3,1.7,0,4.4,0,4.4,0,23,35
-82.93,42.33,WINDSOR,6139520,10/9/2015,2015,10,9,17,15,16,2,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,10/10/2015,2015,10,10,18.5,5.5,12,6,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,10/11/2015,2015,10,11,24,10.5,17.3,0.7,0,0,0,0,0,22,43
-82.93,42.33,WINDSOR,6139520,10/12/2015,2015,10,12,25.5,13,19.3,0,1.3,0,0,0,0,20,56
-82.93,42.33,WINDSOR,6139520,10/13/2015,2015,10,13,16.5,12,14.3,3.7,0,0,0,0,0,25,46
-82.93,42.33,WINDSOR,6139520,10/14/2015,2015,10,14,15.5,10.5,13,5,0,0,0,0,0,32,35
-82.93,42.33,WINDSOR,6139520,10/15/2015,2015,10,15,18.5,5.5,12,6,0,0.2,0,0.2,0,24,63
-82.93,42.33,WINDSOR,6139520,10/16/2015,2015,10,16,14.5,6,10.3,7.7,0,0,0,0,0,30,57
-82.93,42.33,WINDSOR,6139520,10/17/2015,2015,10,17,9,1.5,5.3,12.7,0,0,0,0,0,26,44
-82.93,42.33,WINDSOR,6139520,10/18/2015,2015,10,18,10.5,1.5,6,12,0,0,0,0,0,31,37
-82.93,42.33,WINDSOR,6139520,10/19/2015,2015,10,19,19,0,9.5,8.5,0,0,0,0,0,22,61
-82.93,42.33,WINDSOR,6139520,10/20/2015,2015,10,20,25,13.5,19.3,0,1.3,0,0,0,0,22,43
-82.93,42.33,WINDSOR,6139520,10/21/2015,2015,10,21,23,13,18,0,0,0,0,0,0,22,43
-82.93,42.33,WINDSOR,6139520,10/22/2015,2015,10,22,20,15.5,17.8,0.2,0,0,0,0,0,24,39
-82.93,42.33,WINDSOR,6139520,10/23/2015,2015,10,23,14,7,10.5,7.5,0,12.6,0,12.6,0,10,32
-82.93,42.33,WINDSOR,6139520,10/24/2015,2015,10,24,20.5,10,15.3,2.7,0,5,0,5,0,27,70
-82.93,42.33,WINDSOR,6139520,10/25/2015,2015,10,25,17.5,9,13.3,4.7,0,0,0,0,0,32,46
-82.93,42.33,WINDSOR,6139520,10/26/2015,2015,10,26,16,3.5,9.8,8.2,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,10/27/2015,2015,10,27,15,7.5,11.3,6.7,0,32.2,0,32.2,0,8,44
-82.93,42.33,WINDSOR,6139520,10/28/2015,2015,10,28,16.5,10.5,13.5,4.5,0,2.4,0,2.4,0,22,59
-82.93,42.33,WINDSOR,6139520,10/29/2015,2015,10,29,8.5,4,6.3,11.7,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,10/30/2015,2015,10,30,11,6,8.5,9.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,10/31/2015,2015,10,31,13,5.5,9.3,8.7,0,1.8,0,1.8,0,18,61
-82.93,42.33,WINDSOR,6139520,11/1/2015,2015,11,1,19,9,14,4,0,0,0,0,0,27,54
-82.93,42.33,WINDSOR,6139520,11/2/2015,2015,11,2,20.5,3.5,12,6,0,0,0,0,0,20,32
-82.93,42.33,WINDSOR,6139520,11/3/2015,2015,11,3,24.5,7,15.8,2.2,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,11/4/2015,2015,11,4,25.5,6.5,16,2,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,11/5/2015,2015,11,5,23.5,13.5,18.5,0,0.5,7,0,7,0,20,37
-82.93,42.33,WINDSOR,6139520,11/6/2015,2015,11,6,18.5,12.5,15.5,2.5,0,0,0,0,0,27,61
-82.93,42.33,WINDSOR,6139520,11/7/2015,2015,11,7,13,7.5,10.3,7.7,0,0,0,0,0,28,52
-82.93,42.33,WINDSOR,6139520,11/8/2015,2015,11,8,11.5,0,5.8,12.2,0,0,0,0,0,19,32
-82.93,42.33,WINDSOR,6139520,11/9/2015,2015,11,9,13,-1,6,12,0,12.2,0,12.2,0,,<31
-82.93,42.33,WINDSOR,6139520,11/10/2015,2015,11,10,10,5.5,7.8,10.2,0,1.4,0,1.4,0,,<31
-82.93,42.33,WINDSOR,6139520,11/11/2015,2015,11,11,14.5,2.5,8.5,9.5,0,1.4,0,1.4,0,14,35
-82.93,42.33,WINDSOR,6139520,11/12/2015,2015,11,12,10.5,8,9.3,8.7,0,2.6,0,2.6,0,24,85
-82.93,42.33,WINDSOR,6139520,11/13/2015,2015,11,13,6.5,4,5.3,12.7,0,0.4,0,0.4,0,27,70
-82.93,42.33,WINDSOR,6139520,11/14/2015,2015,11,14,11.5,3.5,7.5,10.5,0,0,0,0,0,31,50
-82.93,42.33,WINDSOR,6139520,11/15/2015,2015,11,15,18,6,12,6,0,0,0,0,0,22,37
-82.93,42.33,WINDSOR,6139520,11/16/2015,2015,11,16,18,3,10.5,7.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,11/17/2015,2015,11,17,17,8,12.5,5.5,0,0,0,0,0,13,35
-82.93,42.33,WINDSOR,6139520,11/18/2015,2015,11,18,16.5,13.5,15,3,0,8.2,0,8.2,0,15,59
-82.93,42.33,WINDSOR,6139520,11/19/2015,2015,11,19,14,10,12,6,0,0,0,0,0,23,70
-82.93,42.33,WINDSOR,6139520,11/20/2015,2015,11,20,8.5,1.5,5,13,0,0,1.4,1.4,0,26,50
-82.93,42.33,WINDSOR,6139520,11/21/2015,2015,11,21,2.5,0.5,1.5,16.5,0,0,8.4,8.4,0,,
-82.93,42.33,WINDSOR,6139520,11/22/2015,2015,11,22,1,-3,-1,19,0,0,0,0,4,29,41
-82.93,42.33,WINDSOR,6139520,11/23/2015,2015,11,23,3,-5,-1,19,0,0,0.2,0.2,2,22,44
-82.93,42.33,WINDSOR,6139520,11/24/2015,2015,11,24,7.5,-2.5,2.5,15.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,11/25/2015,2015,11,25,13,-1,6,12,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,11/26/2015,2015,11,26,15.5,6,10.8,7.2,0,5.8,0,5.8,0,20,57
-82.93,42.33,WINDSOR,6139520,11/27/2015,2015,11,27,13,4.5,8.8,9.2,0,10.6,0,10.6,0,21,48
-82.93,42.33,WINDSOR,6139520,11/28/2015,2015,11,28,3.5,1.5,2.5,15.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,11/29/2015,2015,11,29,4,-4,0,18,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,11/30/2015,2015,11,30,8,1,4.5,13.5,0,0.6,0,0.6,0,5,35
-82.93,42.33,WINDSOR,6139520,12/1/2015,2015,12,1,10,3,6.5,11.5,0,0.4,0,0.4,0,20,33
-82.93,42.33,WINDSOR,6139520,12/2/2015,2015,12,2,6.5,-2.5,2,16,0,6,2,8,0,23,44
-82.93,42.33,WINDSOR,6139520,12/3/2015,2015,12,3,8.5,0.5,4.5,13.5,0,0,0,0,0,24,39
-82.93,42.33,WINDSOR,6139520,12/4/2015,2015,12,4,7.5,1,4.3,13.7,0,0,0,0,0,23,43
-82.93,42.33,WINDSOR,6139520,12/5/2015,2015,12,5,2,-1,0.5,17.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,12/6/2015,2015,12,6,7,0,3.5,14.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,12/7/2015,2015,12,7,4,-2,1,17,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,12/8/2015,2015,12,8,7.5,0.5,4,14,0,0,0,0,0,21,33
-82.93,42.33,WINDSOR,6139520,12/9/2015,2015,12,9,10.5,3.5,7,11,0,0,0,0,0,21,43
-82.93,42.33,WINDSOR,6139520,12/10/2015,2015,12,10,11,3.5,7.3,10.7,0,0,0,0,0,20,54
-82.93,42.33,WINDSOR,6139520,12/11/2015,2015,12,11,14,6.5,10.3,7.7,0,0,0,0,0,24,52
-82.93,42.33,WINDSOR,6139520,12/12/2015,2015,12,12,16.5,6.5,11.5,6.5,0,1,0,1,0,,<31
-82.93,42.33,WINDSOR,6139520,12/13/2015,2015,12,13,16,10,13,5,0,1,0,1,0,20,43
-82.93,42.33,WINDSOR,6139520,12/14/2015,2015,12,14,15.5,10.5,13,5,0,3.2,0,3.2,0,20,63
-82.93,42.33,WINDSOR,6139520,12/15/2015,2015,12,15,9.5,6.5,8,10,0,0,0,0,0,24,41
-82.93,42.33,WINDSOR,6139520,12/16/2015,2015,12,16,12,5,8.5,9.5,0,0.2,0,0.2,0,21,41
-82.93,42.33,WINDSOR,6139520,12/17/2015,2015,12,17,3.5,2,2.8,15.2,0,0.2,0,0.2,0,28,43
-82.93,42.33,WINDSOR,6139520,12/18/2015,2015,12,18,2,-1,0.5,17.5,0,0,0.2,0.2,0,28,56
-82.93,42.33,WINDSOR,6139520,12/19/2015,2015,12,19,1,-3,-1,19,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,12/20/2015,2015,12,20,6,-5,0.5,17.5,0,6.8,0,6.8,0,20,57
-82.93,42.33,WINDSOR,6139520,12/21/2015,2015,12,21,11,4,7.5,10.5,0,3.4,0,3.4,0,21,48
-82.93,42.33,WINDSOR,6139520,12/22/2015,2015,12,22,12,8.5,10.3,7.7,0,0,0,0,0,20,35
-82.93,42.33,WINDSOR,6139520,12/23/2015,2015,12,23,15,3.5,9.3,8.7,0,11.2,0,11.2,0,15,61
-82.93,42.33,WINDSOR,6139520,12/24/2015,2015,12,24,9.5,6,7.8,10.2,0,0,0,0,0,24,59
-82.93,42.33,WINDSOR,6139520,12/25/2015,2015,12,25,10,5,7.5,10.5,0,0,0,0,0,,<31
-82.93,42.33,WINDSOR,6139520,12/26/2015,2015,12,26,7,2.5,4.8,13.2,0,16.4,0,16.4,0,6,39
-82.93,42.33,WINDSOR,6139520,12/27/2015,2015,12,27,4.5,3,3.8,14.2,0,0,0,0,0,2,46
-82.93,42.33,WINDSOR,6139520,12/28/2015,2015,12,28,6.5,-1.5,2.5,15.5,0,27.6,6,33.6,0,,
-82.93,42.33,WINDSOR,6139520,12/29/2015,2015,12,29,6,0,3,15,0,0,0,0,0,24,59
-82.93,42.33,WINDSOR,6139520,12/30/2015,2015,12,30,1.5,1,1.3,16.7,0,0,0,0,0,25,33
-82.93,42.33,WINDSOR,6139520,12/31/2015,2015,12,31,0.5,0,0.3,17.7,0,0,0,0,0,24,46
-82.93,42.33,WINDSOR,6139520,1/1/2016,2016,1,1,-0.5,-3,-1.8,19.8,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,1/2/2016,2016,1,2,3,-3,0,18,0,0,0,0,0,,
-82.93,42.33,WINDSOR,6139520,1/3/2016,2016,1,3,1,-1,0,18,0,0,0,0,0,28,43
